"","X","ID","Dead","Age","Gender","Race","Class","Major1","Major2","Minor1","Minor2","Position","Profession","Industry","City","State","loc","Nurse","lon","lat"
"22",1306,243018,0,"44","Female","White",1997,"Nursing","","","","Certified Nurse Midwife","","","Cumberland","RI","Cumberland, RI",1,-71.4061876,41.9721816
"23",1307,1638452,0,"43","Female","White",2016,"Nursing","","","","Certified Nurses Assistant","","Health/Fitness","Framingham","MA","Framingham, MA",1,-71.4161565,42.279286
"24",1326,362726,0,"52","Female","Asian",1998,"Nursing","","","","Certified Registered Nurse Anesthetist","Nurse","Healthcare/Medical Services","West Newton","MA","West Newton, MA",1,-71.2250533,42.3497948
"25",1327,1279116,0,"34","Female","White",2010,"Nursing","","","","Certified Registered Nurse Anesthetist","","Healthcare/Medical Services","Brighton","MA","Brighton, MA",1,-71.1626756,42.3463503
"26",1328,10010309,0,"65","Female","",1976,"Nursing","","","","Certified Registered Nurse Anesthetists/Staff","","","North Reading","MA","North Reading, MA",1,-71.0786653,42.5750939
"27",1329,10051312,0,"56","Female","",1984,"Nursing","","","","Certified RN Anesthesia","Nurse","Healthcare/Medical Services","Wilmington","MA","Wilmington, MA",1,-71.1724467,42.5481714
"28",1330,10015389,0,"63","Female","",1977,"Nursing","","","","Certified School Nurse","","","Blue Bell","PA","Blue Bell, PA",1,-75.266289,40.1523309
"29",1348,1123600,0,"35","Female","White",2009,"Nursing","","","","Charge Nurse","Nurse","Healthcare/Medical Services","Webster","MA","Webster, MA",1,-71.8800628,42.050091
"30",1349,1470413,0,"31","Female","Asian",2014,"Nursing","","","","Charge Nurse","","Healthcare/Medical Services","San Francisco","CA","San Francisco, CA",1,-122.4194155,37.7749295
"31",1350,10048537,0,"59","Female","",1982,"Nursing","","","","Charge Nurse","","","Osterville","MA","Osterville, MA",1,-70.3870055,41.6285902
"32",1351,798241,0,"60","Female","Black or African American",2007,"Nursing","","","","Charge Nurse","","","Lynn","MA","Lynn, MA",1,-70.9494938,42.466763
"33",1352,1390319,0,"26","Female","",2013,"Nursing","","","","Charge Nurse/RN","","Healthcare/Medical Services","Pawtucket","RI","Pawtucket, RI",1,-71.3825558,41.878711
"34",1539,532899,0,"42","Female","White",2003,"Nursing","","","","Clinical Manager","Nurse","Healthcare/Medical Services","El Centro","CA","El Centro, CA",1,-115.5630514,32.792
"35",1542,968627,0,"31","Female","Multi-Racial",2009,"Nursing","","","","Clinical Nurse","Nurse","Healthcare/Medical Services","Columbia","MD","Columbia, MD",1,-76.8610462,39.2037144
"36",1543,1395954,0,"27","Female","White",2014,"Nutrition and Dietetics","","","","Clinical Nurse","","Healthcare/Medical Services","Derry","NH","Derry, NH",1,-71.3273346,42.8806437
"37",1544,1404094,0,"26","Female","White",2014,"Nursing","","","","Clinical Nurse","","Healthcare/Medical Services","Durham","CT","Durham, CT",1,-72.6812582,41.4817822
"38",1545,1583933,0,"36","Female","Latino/a or Hispanic",2014,"Nursing","","","","Clinical Nurse","","Healthcare/Medical Services","Fairless Hills","PA","Fairless Hills, PA",1,-74.8551644,40.1795537
"39",1546,10051047,0,"57","Female","Black or African American",1984,"Nursing","","","","Clinical Nurse","","","Randolph","MA","Randolph, MA",1,-71.042551,42.1619739
"40",1547,1470540,0,"31","Female","White",2014,"Nursing","","","","Clinical Nurse 1","","Healthcare/Medical Services","Valhalla","NY","Valhalla, NY",1,-73.7751326,41.0748188
"41",1548,10048946,0,"59","Female","",1981,"Nursing","","","","Clinical Nurse Educator, Labor & Delivery","","","Middleton","MA","Middleton, MA",1,-71.0161643,42.5950939
"42",1549,584365,0,"35","Female","Black or African American",2005,"Society and Health","Sociology","Political Science","","Clinical Nurse I","Nurse","Healthcare/Medical Services","Gilmanton","NH","Gilmanton, NH",1,-71.4138418,43.4248816
"43",1550,808084,0,"68","Female","White",2005,"Nursing","","","","Clinical Nurse I","","","Brookline","MA","Brookline, MA",1,-71.1211635,42.3317642
"44",1551,1033531,0,"40","Female","White",2007,"Nursing","","","","Clinical Nurse II","","Healthcare/Medical Services","Sherman Oaks","CA","Sherman Oaks, CA",1,-118.451357,34.1489719
"45",1552,1401446,0,"27","Female","",2013,"Nursing","","","","Clinical Nurse II","","Healthcare/Medical Services","Boston","MA","Boston, MA",1,-71.0588801,42.3600825
"46",1553,933706,0,"38","Female","White",2006,"Nursing","","","","Clinical Nurse Liaison","Nurse","Healthcare/Medical Services","Foxboro","MA","Foxboro, MA",1,-71.2478251,42.0653812
"47",1554,1468418,0,"46","Female","White",2014,"Nursing","","","","Clinical Nurse Manager","","Healthcare/Medical Services","Buzzards Bay","MA","Buzzards Bay, MA",1,-70.618087,41.7453829
"48",1555,10047672,0,"58","Female","",1982,"Nursing","","","","Clinical Nurse Manager","","","White Plains","NY","White Plains, NY",1,-73.7629097,41.0339862
"49",1556,10014346,0,"49","Female","",1971,"Nursing","","","","Clinical Nurse Specialist","","","Cape Elizabeth","ME","Cape Elizabeth, ME",1,-70.2000467,43.563696
"50",1557,10022818,0,"","Female","",1977,"Nursing","","","","Clinical Nurse Specialist","","","Watertown","MA","Watertown, MA",1,-71.1828321,42.3709299
"51",1558,10057580,0,"77","Female","",1980,"Nursing","","","","Clinical Nurse Specialist","","","Albuquerque","NM","Albuquerque, NM",1,-106.650422,35.0843859
"52",1559,10047012,0,"55","Female","",1986,"Management","Nursing","","","Clinical Nurse Specialist","","","Wareham","MA","Wareham, MA",1,-70.7197342,41.7614511
"53",1560,10052092,0,"54","Female","",1986,"Nursing","","","","Clinical Nurse Specialist","","","Guilford","CT","Guilford, CT",1,-72.674364,41.288906
"54",1561,990805,0,"31","Female","Black or African American",2010,"Nursing","","","","Clinical Nurse Stepdown","","Healthcare/Medical Services","Boston","MA","Boston, MA",1,-71.0588801,42.3600825
"55",1589,10049597,0,"55","Female","",1986,"Nursing","","","","Clinical Reasearch Nurse","","","Medway","MA","Medway, MA",1,-71.3967256,42.1417641
"56",1590,1462989,0,"36","Female","White",2013,"Nursing","","","","Clinical Reporting and Data Quality Analyst","Nurse","Healthcare/Medical Services","Weymouth","MA","Weymouth, MA",1,-70.9410356,42.2180724
"57",1618,10048758,0,"58","Female","",1982,"Nursing","","","","Clinical Research Nurse","","Healthcare/Medical Services","Westford","MA","Westford, MA",1,-71.4378411,42.5792583
"58",1619,359494,0,"42","Female","White",1999,"Biology","","Chemistry","","Clinical Research Nurse","","Healthcare/Medical Services","Brookline","MA","Brookline, MA",1,-71.1211635,42.3317642
"59",1620,532271,0,"45","Female","White",2007,"Nursing","","","","Clinical Research Nurse","","Healthcare/Medical Services","Norwell","MA","Norwell, MA",1,-70.7927832,42.1615157
"60",1621,1413473,0,"33","Female","Latino/a or Hispanic",2012,"Nursing","","","","Clinical Research Nurse","","Healthcare/Medical Services","Hingham","MA","Hingham, MA",1,-70.889759,42.2418172
"61",1622,10051815,0,"50","Female","White",1990,"Nursing","","","","Clinical Research Nurse","","","Clinton","CT","Clinton, CT",1,-72.5288034,41.2882208
"62",1623,1318754,0,"27","Female","White",2013,"Nursing","","","","Clinical Research Nurse Coordinator","","Healthcare/Medical Services","Sharon","MA","Sharon, MA",1,-71.1786237,42.1236499
"63",1686,469238,0,"38","Female","White",2003,"Society and Health","Sociology","Psychology","","CNA","Nurse","Healthcare/Medical Services","Norton","MA","Norton, MA",1,-71.1869963,41.9667703
"64",1791,10061978,0,"64","Female","",1987,"Nursing","","","","Community Health Nurse","","","Leverett","MA","Leverett, MA",1,-72.5011335,42.4519581
"65",1792,189919,0,"64","Female","Asian",1993,"Nursing","","","","Community Health Nurse, Case Management","","","Malden","MA","Malden, MA",1,-71.066163,42.4250964
"66",1799,1398935,0,"31","Female","",2013,"Nursing","","","","Community Nurse","","Healthcare/Medical Services","Boston","MA","Boston, MA",1,-71.0588801,42.3600825
"67",1898,10025047,0,"","Female","",1975,"Nursing","","","","Consultant Nurse Practitioner","","","South Burlington","VT","South Burlington, VT",1,-73.1709604,44.4669941
"68",1937,10049782,0,"58","Female","",1983,"Nursing","","","","Continuing Education Teacher for Nurses","","","Holliston","MA","Holliston, MA",1,-71.4245049,42.2000966
"69",2071,1253081,0,"56","Female","White",2010,"Nursing","","","","CPDS (Nurse Educator) Parent Child Services","","Healthcare/Medical Services","Marshfield","MA","Marshfield, MA",1,-70.7055871,42.0917453
"70",2104,1582617,0,"29","Female","White",2015,"Nursing","","","","Critical Care Nurse","","Healthcare/Medical Services","Topsfield","MA","Topsfield, MA",1,-70.9495053,42.6375941
"71",2105,952188,0,"53","Female","",2006,"Nursing","","","","Critical Care Registered Nurse","","Healthcare/Medical Services","El Cerrito","CA","El Cerrito, CA",1,-122.310765,37.9161326
"72",2106,1412657,0,"26","Female","White",2014,"Nursing","","","","Critical Care Registered Nurse","","Healthcare/Medical Services","Millis","MA","Millis, MA",1,-71.351738,42.1669661
"73",2107,1444919,0,"27","Female","White",2015,"Nursing","","","","Critical Care Registered Nurse","","Healthcare/Medical Services","Raynham","MA","Raynham, MA",1,-71.0731162,41.9487077
"74",2108,1156606,0,"32","Female","",2011,"Nursing","","","","Critical Care Registered Nurse","","Education - Higher","Swampscott","MA","Swampscott, MA",1,-70.9175562,42.4709437
"75",2111,10048166,0,"55","Female","",1986,"Nursing","","","","Critical Care Staff Nurse","","","Littleton","MA","Littleton, MA",1,-71.5128022,42.5372893
"76",2574,10022723,0,"66","Female","White",1974,"Nursing","","","","Director of Nurses","","","Marlborough","MA","Marlborough, MA",1,-71.5522874,42.3459271
"77",2792,10021198,0,"46","Female","White",1964,"Nursing","","","","District School Nurse, Special Education","","","Aptos","CA","Aptos, CA",1,-121.8994016,36.9771729
"78",2828,10027135,0,"47","Female","",1966,"Nursing","","","","Ear Nose & Throat Float Nurse","","","Needham","MA","Needham, MA",1,-71.2377548,42.2809285
"79",2977,816473,0,"42","Female","White",2006,"Nursing","","","","Emergency Department Nurse","","Healthcare/Medical Services","Brooklyn","NY","Brooklyn, NY",1,-73.9441579,40.6781784
"80",2982,10048452,0,"55","Female","",1986,"Nursing","","","","Emergency Room Nurse","","Healthcare/Medical Services","Medfield","MA","Medfield, MA",1,-71.3064597,42.1875826
"81",2983,10041273,0,"64","Female","",1977,"Nursing","","","","Emergency Room Nurse","","","Holliston","MA","Holliston, MA",1,-71.4245049,42.2000966
"82",2984,10047075,0,"58","Female","",1982,"History","","","","Emergency Room Registered Nurse","","Healthcare/Medical Services","Swampscott","MA","Swampscott, MA",1,-70.9175562,42.4709437
"83",2985,524306,0,"45","Female","White",2004,"Nursing","","","","Emergency Room Registered Nurse","","","Waddell","AZ","Waddell, AZ",1,-112.4504235,33.5757703
"84",2998,10030463,0,"","Female","",1978,"Nursing","","","","Endocrinology Nurse","","Healthcare/Medical Services","Saco","ME","Saco, ME",1,-70.4428286,43.5009176
"85",3054,495397,0,"37","Female","White",2004,"Nursing","","Psychology","","ER Nurse","Nurse","Healthcare/Medical Services","Sewell","NJ","Sewell, NJ",1,-75.1441926,39.7662167
"86",3055,948934,0,"32","Female","White",2008,"Nursing","","","","ER Nurse","","Healthcare/Medical Services","Billerica","MA","Billerica, MA",1,-71.2689461,42.5584218
"87",3073,1393862,0,"26","Female","White",2014,"Nursing","","","","Evening Nurse","","Healthcare/Medical Services","Lebanon","NH","Lebanon, NH",1,-72.2517569,43.6422934
"88",3178,708714,0,"33","Female","White",2007,"Nursing","","","","Executive Director of Perioperative Services","Nurse","Healthcare/Medical Services","San Antonio","TX","San Antonio, TX",1,-98.4936282,29.4241219
"89",3233,1015664,0,"38","Female","",2007,"Nursing","","","","Family General Practice Nurse","","Healthcare/Medical Services","Fair Lawn","NJ","Fair Lawn, NJ",1,-74.1318096,40.9403762
"90",3236,16193,0,"49","Female","White",1992,"Nursing","","","","Family Nurse Practitioner","Nurse","Healthcare/Medical Services","Kittery","ME","Kittery, ME",1,-70.736137,43.0881256
"91",3237,711683,0,"43","Female","White",2004,"Nursing","","","","Family Nurse Practitioner","","Healthcare/Medical Services","Bozeman","MT","Bozeman, MT",1,-111.0429339,45.6769979
"92",3238,419742,0,"38","Female","White",2005,"Nursing","","","","Family Nurse Practitioner","","Healthcare/Medical Services","Byfield","MA","Byfield, MA",1,-70.9475103,42.7595355
"93",3239,796260,0,"35","Female","White",2007,"Communications","","","","Family Nurse Practitioner","","Healthcare/Medical Services","Woodstock","CT","Woodstock, CT",1,-71.9739625,41.9484307
"94",3240,959530,0,"33","Female","White",2008,"Biochemistry","","","","Family Nurse Practitioner","Nurse","Healthcare/Medical Services","San Diego","CA","San Diego, CA",1,-117.1610838,32.715738
"95",3241,1214457,0,"29","Female","White",2011,"Nursing","","","","Family Nurse Practitioner","","Healthcare/Medical Services","Strafford","NH","Strafford, NH",1,-71.184232,43.3270251
"96",3242,1202196,0,"29","Female","White",2012,"Nursing","","","","Family Nurse Practitioner","","Healthcare/Medical Services","New York","NY","New York, NY",1,-74.0059728,40.7127753
"97",3243,321224,0,"51","Female","Black or African American",1996,"Nursing","","","","Family Nurse Practitioner","","Health/Fitness","Marblehead","MA","Marblehead, MA",1,-70.8578024,42.4999582
"98",3244,10048768,0,"56","Female","",1985,"Nursing","","","","Family Nurse Practitioner","","Education - Higher","Lexington","MA","Lexington, MA",1,-71.2271531,42.4473497
"99",3245,10058128,0,"60","Female","",1980,"Nursing","Spanish","","","Family Nurse Practitioner","","","Pacifica","CA","Pacifica, CA",1,-122.4869194,37.6138253
"100",3246,10046679,0,"59","Female","",1981,"Nursing","","","","Family Nurse Practitioner","","","Derry","NH","Derry, NH",1,-71.3273346,42.8806437
"101",3247,10052624,0,"59","Female","",1982,"Nutrition","","","","Family Nurse Practitioner","","","Chapel Hill","NC","Chapel Hill, NC",1,-79.0558445,35.9131996
"102",3248,10053034,0,"62","Female","",1983,"OPEN Program","","","","Family Nurse Practitioner","","","Ithaca","NY","Ithaca, NY",1,-76.5018807,42.4439614
"103",3249,10049644,0,"55","Female","",1985,"Nursing","","","","Family Nurse Practitioner","","","Hyde Park","MA","Hyde Park, MA",1,-71.1240559,42.2565289
"104",3250,137488,0,"45","Female","White",1995,"Biology","","","","Family Nurse Practitioner","","","Boxford","MA","Boxford, MA",1,-70.996726,42.6611604
"105",3251,10057600,0,"60","Female","White",1980,"Nursing","","","","Family Nurse Practitioner Program","","Education - Higher","North Andover","MA","North Andover, MA",1,-71.1350575,42.6987024
"106",3378,322154,0,"57","Female","Black or African American",1997,"Nursing","","","","Floor Nurse","","","Wellington","FL","Wellington, FL",1,-80.2683571,26.6617635
"107",3382,1170346,0,"30","Female","Asian",2011,"Nutrition and Dietetics","","","","Flu Nurse and Screening Technician","","Healthcare/Medical Services","Boston","MA","Boston, MA",1,-71.0588801,42.3600825
"108",3527,1279489,0,"29","Female","White",2012,"Nursing","","","","Gastrointestinal (GI) Nurse Practitioner","","Healthcare/Medical Services","Bradford","MA","Bradford, MA",1,-71.0780044,42.768643
"109",3548,10002215,0,"63","Female","White",1977,"Nursing","","","","Geriatric Nurse Practitioner","","","Framingham","MA","Framingham, MA",1,-71.4161565,42.279286
"110",3551,10035279,0,"49","Female","White",1970,"Nursing","","","","Gerontologic Nurse Practitioner","","","Bolton","MA","Bolton, MA",1,-71.6078449,42.4334258
"111",3552,1257147,0,"38","Female","White",2010,"Nursing","","","","GI Program Nurse","","Health/Fitness","Plymouth","MA","Plymouth, MA",1,-70.6672621,41.9584457
"112",3692,10001730,0,"47","Female","",1965,"Nursing","","","","Head Nurse","","","Norridgewock","ME","Norridgewock, ME",1,-69.7905955,44.7130794
"113",3709,10031079,0,"","Female","",1978,"Nursing","","","","Head School Nurse","","","Tewksbury","MA","Tewksbury, MA",1,-71.2342248,42.6106478
"114",3732,275860,0,"59","Female","White",1996,"Nursing","","","","Health Center Nurse","","","Amherst","MA","Amherst, MA",1,-72.5198537,42.3732216
"115",3763,10006197,0,"47","Female","",1966,"Nursing","","","","Heart Team - Or / Registered Nurse","","","Issaquah","WA","Issaquah, WA",1,-122.0326191,47.5301011
"116",3769,1318726,0,"29","Female","Black or African American",2012,"Nursing","","","","Hematology/Oncology Clinical Nurse II","","Healthcare/Medical Services","Santa Clara","CA","Santa Clara, CA",1,-121.9552356,37.3541079
"117",3794,287256,0,"71","Female","",1997,"Nursing","","","","Holistic Nurse","","","Saunderstown","RI","Saunderstown, RI",1,-71.4225151,41.5093713
"118",3850,143571,0,"48","Female","White",1994,"Psychology","","","","Hospice Nurse","Nurse","Healthcare/Medical Services","Weymouth","MA","Weymouth, MA",1,-70.9410356,42.2180724
"119",3851,10054968,0,"58","Female","",1982,"Nursing","","","","Hospice Nurse","","","Hollywood","FL","Hollywood, FL",1,-80.1494901,26.0112014
"120",3923,1036008,0,"31","Female","White",2009,"Biochemistry","","","","ICU Registered Nurse","","Healthcare/Medical Services","Melrose","MA","Melrose, MA",1,-71.0661633,42.4584292
"121",3943,10045717,0,"","Female","",1975,"Nursing","","","","Inactive Nurse","","","Wayne","NJ","Wayne, NJ",1,-74.2765441,40.9253725
"122",3986,699871,0,"35","Female","White",2006,"Nursing","","","","Infectious Disease Nurse Practitioner","","Education - Higher","Saint Louis","MO","Saint Louis, MO",1,-90.1994042,38.6270025
"123",4000,1650891,0,"32","Female","Asian",2015,"Nursing","","","","Infusion Nurse","","Healthcare/Medical Services","Hingham","MA","Hingham, MA",1,-70.889759,42.2418172
"124",4001,1156501,0,"36","Female","Multi-Racial",2009,"Nursing","","","","Infusion Nurse, Cancer Center","","Healthcare/Medical Services","Medford","MA","Medford, MA",1,-71.1061639,42.4184296
"125",4230,508404,0,"37","Female","White",2004,"Nursing","","","","Labor & Delivery Nurse BSN RN CN2","","Healthcare/Medical Services","Kingston","MA","Kingston, MA",1,-70.7284785,41.9932752
"126",4231,943272,0,"36","Female","White",2006,"Nursing","","","","Labor & Delivery Registered Nurse","","Healthcare/Medical Services","Miller Place","NY","Miller Place, NY",1,-72.9962148,40.9598212
"127",4406,104365,0,"81","Female","White",1988,"Women's Studies","","","","Licensed Practical Nurse Substance Abuse Unit","","","Ipswich","MA","Ipswich, MA",1,-70.8411558,42.6791832
"128",4819,342016,0,"56","Female","White",2001,"Nursing","","","","Maternal Child Health Nurse","","","Quincy","MA","Quincy, MA",1,-71.0022705,42.2528772
"129",4820,1421408,0,"34","Female","White",2012,"Nursing","","","","Maternal/Infant/Pediatric Home Health Nurse","","Healthcare/Medical Services","Woodstock","IL","Woodstock, IL",1,-88.4487021,42.3147436
"130",4888,10042443,0,"74","Female","",1975,"Nursing","","","","Medical Interpreter/Nurse Practitioner","","","Wilmington","DE","Wilmington, DE",1,-75.5483909,39.744655
"131",4904,419955,0,"38","Female","White",2004,"Nursing","","Biology","Psychology","Medical Surgical Nurse","","","Wilton","NH","Wilton, NH",1,-71.7351077,42.8433943
"132",5031,10051718,0,"55","Female","",1986,"Nursing","","","","Neonatal Transport Nurse","","","Arlington","VA","Arlington, VA",1,-77.0909809,38.8816208
"133",5039,1382856,0,"28","Female","White",2013,"Nursing","","","","Neuro-Oncology Nurse Practitioner","","Healthcare/Medical Services","San Francisco","CA","San Francisco, CA",1,-122.4194155,37.7749295
"134",5041,106385,0,"61","Female","White",1982,"Nutrition","","","","Neurology Nurse","Nurse","Healthcare/Medical Services","Auburndale","MA","Auburndale, MA",1,-71.2471097,42.3479782
"135",5042,10027737,0,"64","Female","",1977,"Nursing","","","","Neurology Nurse Practitioner","","","Sharon","MA","Sharon, MA",1,-71.1786237,42.1236499
"136",5070,10052519,0,"56","Female","",1984,"Nursing","","","","Nurse","","Healthcare/Medical Services","Milford","MA","Milford, MA",1,-71.5163049,42.1398577
"137",5071,10049422,0,"55","Female","",1985,"Nursing","","","","Nurse","","Healthcare/Medical Services","Mansfield","MA","Mansfield, MA",1,-71.2190578,42.0334565
"138",5072,211146,0,"45","Female","White",1995,"Biology","","","","Nurse","Nurse","Healthcare/Medical Services","Peabody","MA","Peabody, MA",1,-70.9286609,42.5278731
"139",5073,434365,0,"47","Female","White",2000,"Nursing","","","","Nurse","Nurse","Healthcare/Medical Services","West Roxbury","MA","West Roxbury, MA",1,-71.1626756,42.2797554
"140",5074,464174,0,"38","Female","White",2003,"Nursing","","Biology","","Nurse","","Healthcare/Medical Services","Boston","MA","Boston, MA",1,-71.0588801,42.3600825
"141",5076,805649,0,"37","Female","White",2004,"Nursing","","","","Nurse","","Healthcare/Medical Services","Charlestown","MA","Charlestown, MA",1,-71.0602131,42.3782065
"142",5077,509332,0,"35","Female","White",2005,"Nursing","","","","Nurse","","Healthcare/Medical Services","Watertown","MA","Watertown, MA",1,-71.1828321,42.3709299
"143",5078,499244,0,"39","Female","White",2006,"Nursing","","","","Nurse","Nurse","Healthcare/Medical Services","Framingham","MA","Framingham, MA",1,-71.4161565,42.279286
"144",5079,641812,0,"35","Female","White",2006,"Nursing","","","","Nurse","","Healthcare/Medical Services","Redondo Beach","CA","Redondo Beach, CA",1,-118.3884078,33.8491816
"145",5080,705044,0,"44","Female","White",2006,"Nursing","","","","Nurse","Medicine","Healthcare/Medical Services","Milton","MA","Milton, MA",1,-71.0661653,42.2495321
"146",5081,945220,0,"39","Female","White",2006,"Nursing","","","","Nurse","Nurse","Healthcare/Medical Services","Norwood","MA","Norwood, MA",1,-71.1989695,42.1943909
"147",5082,805781,0,"33","Female","Asian",2007,"Nursing","","","","Nurse","","Healthcare/Medical Services","Auburndale","MA","Auburndale, MA",1,-71.2471097,42.3479782
"148",5083,972234,0,"41","Female","Black or African American",2007,"Nursing","","","","Nurse","","Healthcare/Medical Services","Cambridge","MA","Cambridge, MA",1,-71.1097335,42.3736158
"149",5084,1039305,0,"42","Female","White",2007,"Nursing","","","","Nurse","Nurse","Healthcare/Medical Services","Barkhamsted","CT","Barkhamsted, CT",1,-72.9139904,41.9292629
"150",5085,713911,0,"34","Female","Black or African American",2008,"Nursing","","","","Nurse","","Healthcare/Medical Services","Dorchester","MA","Dorchester, MA",1,-71.067605,42.3016305
"151",5086,951350,0,"63","Female","White",2008,"Nursing","","","","Nurse","","Healthcare/Medical Services","Medfield","MA","Medfield, MA",1,-71.3064597,42.1875826
"152",5087,963934,0,"34","Female","White",2008,"Nursing","","","","Nurse","","Healthcare/Medical Services","Millis","MA","Millis, MA",1,-71.351738,42.1669661
"153",5088,964572,0,"33","Female","",2008,"Nursing","","","","Nurse","Nurse","Healthcare/Medical Services","Palm Beach Gardens","FL","Palm Beach Gardens, FL",1,-80.1386547,26.8233946
"154",5089,1020398,0,"47","Female","White",2008,"Nursing","","","","Nurse","Nurse","Healthcare/Medical Services","Hopkinton","MA","Hopkinton, MA",1,-71.5225646,42.2286954
"155",5090,1151990,0,"32","Female","Asian",2008,"Nursing","","","","Nurse","","Healthcare/Medical Services","Framingham","MA","Framingham, MA",1,-71.4161565,42.279286
"156",5091,972288,0,"31","Female","White",2009,"Nursing","","","","Nurse","Nurse","Healthcare/Medical Services","Lynnfield","MA","Lynnfield, MA",1,-71.0465638,42.53869
"157",5092,1130518,0,"31","Female","White",2010,"Nursing","","","","Nurse","","Healthcare/Medical Services","Burlington","MA","Burlington, MA",1,-71.1956205,42.5047161
"158",5093,1167386,0,"31","Female","Black or African American",2010,"Nursing","","","","Nurse","","Healthcare/Medical Services","Wareham","MA","Wareham, MA",1,-70.7197342,41.7614511
"159",5094,1196200,0,"28","Female","White",2012,"Nursing","","","","Nurse","Nurse","Healthcare/Medical Services","Tewksbury","MA","Tewksbury, MA",1,-71.2342248,42.6106478
"160",5095,1317616,0,"28","Female","Latino/a or Hispanic",2012,"Nursing","","","","Nurse","","Healthcare/Medical Services","Acton","MA","Acton, MA",1,-71.43284,42.4850931
"161",5096,1378896,0,"","Female","",2012,"Nursing","","","","Nurse","","Healthcare/Medical Services","Auburndale","MA","Auburndale, MA",1,-71.2471097,42.3479782
"162",5097,1409856,0,"36","Female","",2012,"Nursing","","","","Nurse","","Healthcare/Medical Services","Westborough","MA","Westborough, MA",1,-71.6161294,42.2695216
"163",5098,1415530,0,"35","Female","",2012,"Nursing","","","","Nurse","Nurse","Healthcare/Medical Services","Carver","MA","Carver, MA",1,-70.7625376,41.8834363
