ID,Dead, Age ,Gender,Race,Class,Major1,Major2,Minor1,Minor2,Position,Profession,Industry,City,State
10061972,,54,Female,,1987,Retail Management,,,,Account Executive,,,West Palm Beach,FL
10047897,,52,Female,,1988,History,,,,Account Executive,,,Hanover,MA
10055260,,51,Female,White,1989,Advertising,,,,Account Executive,,,West Babylon,NY
20502,,49,Female,White,1991,Advertising,Public Relations,,,Account Executive,,,Hartford,CT
118050,,51,Female,White,1991,Retail Management,,,,Account Executive,,,Ballston Spa,NY
121698,,48,Female,,1992,Retail Management,,,,Account Executive,,,Worcester,MA
164133,,48,Female,White,1992,Retail Management,,,,Account Executive,,,North Kingstown,RI
95793,,49,Female,White,1993,Advertising,Public Relations,,,Account Executive,,,Saint Louis,MO
229872,,44,Female,White,1996,Public Relations and Marketing,,,,Account Executive,,,San Francisco,CA
452756,,41,Female,White,2000,English,,,,Account Executive,,,West Newbury,MA
1211741,,29,Female,Black or African American,2011,Communications,,Marketing,,Account Executive,,,Nashville,TN
1404796,,28,Female,,2013,Marketing,,Communications,,Account Executive,,,Fall River,MA
10049620,,53,Female,,1987,Finance,,,,Account Executive - Medical Device,,Pharmaceutical/Biotechnology,Cumberland,RI
1046094,,30,Female,Black or African American,2010,Biopsychology,Management,,,Account Executive II,,Healthcare/Medical Services,Houston,TX
10047226,,56,Female,White,1984,Advertising,,,,Account Executive Outreach Department,,,Naples,FL
646719,,34,Female,,2006,Arts Administration,Public Relations and Marketing,,,"Account Executive, Marketing and Communications",,Broadcasting,Ashland,MA
141099,,48,Female,White,1993,Advertising,,,,Account Manager,,Publishing,Ashburn,VA
531239,,37,Female,White,2004,Arts Administration,,,,Account Manager,,Computers - System Design/Services,London,
948237,,31,Female,White,2009,Finance,,,,Account Manager,,Aerospace/Aviation,Vienna,VA
10062518,,53,Female,,1987,Communications,English,,,Account Manager,,Advertising/Public Relations/Marketing,Sanford,NC
1476885,,24,Female,White,2016,Communications,,Graphic Design,Marketing,Account Manager,,Advertising/Public Relations/Marketing,South Boston,MA
10040371,,49,Female,,1971,Retail Management,,,,Account Manager,,,Foxborough,MA
10052697,,56,Female,,1985,Government,Management,,,Account Manager,,,Woodstock,GA
10052360,,55,Female,,1986,Management,,,,Account Manager,,,Torrington,CT
10061948,,66,Female,,1987,Management,Natl Asso Bank Women,,,Account Manager,,,Plymouth,MA
10062899,,59,Female,White,1988,Advertising,,,,Account Manager,,,Norwood,MA
10052840,,52,Female,White,1989,Management,,,,Account Manager,,,Marblehead,MA
20855,,48,Female,White,1992,Accounting,Management,,,Account Manager,,,Millis,MA
404101,,42,Female,White,1999,Public Relations and Marketing,,,,Account Manager,,,Charlottesville,VA
347896,,40,Female,White,2000,English,,Biology,,Account Manager,,,Moodus,CT
395816,,41,Female,White,2000,Public Relations and Marketing,,Economics,,Account Manager,,,Ballston Spa,NY
793782,,39,Female,,2004,Management,,,,Account Manager,,,Bayside,NY
634322,,36,Female,White,2005,Public Relations and Marketing,,Marketing,,Account Manager,,,Southborough,MA
1256656,,29,Female,White,2012,Women's and Gender Studies,,,,Account Manager,,,Brockton,MA
1280301,,29,Female,Multi-Racial,2012,Marketing,,,,Account Manager,,,Chicago,IL
218652,,44,Female,White,1996,Communications,Spanish,,,"Account Manager, Latin/North America",,,Mansfield,MA
315595,,44,Female,White,1997,Biology,,,,"Account Manager, Mid-Atlantic Territory",,Pharmaceutical/Biotechnology,Cape Elizabeth,ME
10051227,,58,Female,,1982,Psychology,,,,Account Rep,,Consumer Product,Beverly,MA
10050078,,60,Female,,1982,English,,,,Account Representative,,,Brookline,MA
10048055,,57,Female,,1983,Management,,,,Account Representative,,,Northborough,MA
10051933,,55,Female,Black or African American,1986,International Business,,,,Account Representative,,,Bloomfield,CT
10052622,,54,Female,,1986,Advertising,,,,Account Representative,,,Guilford,CT
260823,,53,Female,,1995,Economics,,,,Account Representative,,,Gloucester,MA
1163328,,29,Female,,2011,Biopsychology,Public Health,,,Account Specialist,,Healthcare/Medical Services,Narragansett,RI
1282819,,28,Female,White,2012,Psychology,,,,Account Specialist,,Employment Services/Coaching,Andover,MA
697890,,36,Female,,2006,Public Relations and Marketing,,Political Science,,Account Supervisor,,Advertising/Public Relations/Marketing,Houston,TX
804198,,33,Female,White,2007,Public Relations and Marketing,,,,Account Supervisor,,Advertising/Public Relations/Marketing,Kingston,MA
943518,,32,Female,White,2008,Management,,,,Account Supervisor,,Advertising/Public Relations/Marketing,Westerly,RI
1155385,,31,Female,Asian,2010,Communications,,,,Account Supervisor,,Advertising/Public Relations/Marketing,Honolulu,HI
1253252,,30,Female,White,2011,Psychology,,Marketing,,Account Supervisor,,Advertising/Public Relations/Marketing,Norwalk,CT
1275747,,29,Female,White,2011,Communications,,,,Account Supervisor,,Advertising/Public Relations/Marketing,Boston,MA
16895,,50,Female,White,1991,Public Relations,,,,Account Supervisor,,,Exeter,NH
501638,,37,Female,White,2003,Economics,Managerial Finance,,,Account Supervisor,,,Weymouth,MA
564113,,35,Female,White,2005,Marketing,,Economics,,Account Supervisor,,,Boston,MA
1025983,,31,Female,White,2009,Marketing,,,,Account Supervisor,,,South Boston,MA
778132,,34,Female,White,2007,Psychology,,,,Accountant,,Real Estate/Property Management,Salem,MA
1480167,,24,Female,White,2016,Business and Management,Finance,Organizational Studies,,Accountant,,Education - Higher,Boston,MA
10016701,,47,Female,,1967,Pre Professional,,,,Accountant,,,Bethesda,MD
10018712,,50,Female,Asian,1972,History,,,,Accountant,,,New York,NY
10018700,,66,Female,,1974,Business Administration,,,,Accountant,,,Sherborn,MA
10039666,,65,Female,,1976,Management,,,,Accountant,,,Peabody,MA
10057461,,,Female,,1980,Finance,,,,Accountant,,,West Newton,MA
10054314,,57,Female,,1983,Management,,,,Accountant,,,Kingston,PA
10047274,,58,Female,,1984,Communications,,,,Accountant,,,Peabody,MA
114054,,48,Female,White,1992,Accounting,Finance,,,Accountant,,,Newton,MA
160208,,48,Female,Asian,1995,English,,,,Accountant,,,Astoria,NY
282181,,44,Female,Asian,1998,Economics,International Relations,,,Accountant,,,Acton,MA
601683,,35,Female,Asian,2005,Chemistry,Mathematics,,,Accountant,,,Brookline,MA
10010306,,49,Female,,1970,Sociology,,,,Accountant/Tax Preparer,,,Jefferson,NH
10047568,,55,Female,,1986,Management,,,,Accounting,,,Chelmsford,MA
10049385,,54,Female,,1987,Economics,Finance,,,Accounting,,,Watertown,MA
10015277,,49,Female,,1972,Management,,,,Accounting & Marketing Consultant,,,Los Angeles,CA
417636,,39,Female,White,2001,English,,,,Accounting Coordinator,,Legal Services,Stoneham,MA
1148686,,36,Female,Asian,2010,Finance,,,,Accounting Intern,,Hotel/Hospitality/Tourism,Fremont,CA
10006769,,47,Female,,1966,Education,,,,Accounting Manager,,,Warrenton,VA
10045022,,,Female,,1978,Communications,,,,Accounting Manager,,,Lake Bluff,IL
119704,,49,Female,Black or African American,1992,Finance,,,,Accounting Manager,,,Boston,MA
634638,,36,Female,White,2004,Economics,,,,Accounting Specialist,Accountant,Financial Services - Investments,Ware,MA
10013906,,53,Female,White,1987,Retail Management,,,,Accounting Supervisor,,,Manchester,NH
10050391,,,Female,,1988,Retail Management,,,,Accounting Supervisor,,,Cotuit,MA
10004306,,49,Female,,1970,Finance,Mathematics,,,"Accounting, Financial Advisor",,,Wrentham,MA
10054520,,57,Female,,1983,Communications,,,,Accounts Manager,Office Support Specialist,Pharmaceutical/Biotechnology,Burlington,MA
10051750,,52,Female,White,1989,Philosophy,Political Science,,,Accounts Manager,,,Hartford,CT
10049939,,62,Female,,1980,Physical Therapy,,,,Accounts Payable,,,Andover,MA
143283,,47,Female,White,1993,History,,,,Accounts Payable Service Center Representative,,Education - Higher,Astoria,NY
950726,,33,Female,White,2008,Management,,,,Accounts Payable Supervisor,,,Dorchester,MA
43777,,49,Female,White,1992,Economics,,,,Accounts Receivable,,,North Attleboro,MA
1316531,,27,Female,,2013,Arts Administration,,Art History,,Accounts Receivable Associate,,Museums,Cambridge,MA
259311,,47,Female,White,1994,English,Women's Studies,,,Accounts Receivable Clerk,,,Somerville,MA
19454,,49,Female,White,1991,English,,,,Accounts Receivable Supervisor,,,Camden,ME
10049933,,59,Female,,1981,Management,,,,Accouont Representative,,,Middletown,RI
314688,,44,Female,White,1997,History,Sociology,,,Acquisitions and Reserves Coordinator,,,Marlborough,MA
10012652,,49,Female,,1972,American Studies,,,,Acquisitions Director,,,North Andover,MA
213257,,48,Female,,1994,Sociology,,,,Acquisitions Editor,,,Ann Arbor,MI
10022922,,50,Female,,1972,Communications,,,,Acquisitions Librarian/Homemaker,,,Sugar Land,TX
10010984,,48,Female,White,1969,Government,,,,Acting Chief Business Officer,,,Carlsbad,CA
10000507,,79,Female,Black or African American,1980,Early Childhood Education,,,,Acting Director,,,Brookline,MA
10050833,,54,Female,White,1987,Economics,International Relations,,,"Acting Director, Policy and Regional Affairs",,Government - Federal,Washington,DC
10045352,,47,Female,,1964,Retail Management,,,,Actor,,,Naples,FL
507951,,37,Female,White,2004,Communications,Spanish,,,Actor,,,Fall River,MA
10052894,,58,Female,Asian,1982,Education,,,,Actor/Career Coach/Image and Style Consultant,,Arts/Entertainment/Recreation,Maynard,MA
10053435,,55,Female,,1985,Education,,,,Actress,,,New York,NY
109771,,61,Female,White,1995,Management,,,,Acupuncture Physical Therapist,,,Miami Shores,FL
10019711,,66,Female,,1974,Communications,,,,Acupuncture Physician,,,Fort Lauderdale,FL
10002891,,49,Female,,1972,Foreign Language,,,,Acupuncturist,,,Silver Spring,MD
947983,,33,Female,White,2009,Biology,,,,Acute Care Nurse Practitioner Hospitalist,,Healthcare/Medical Services,Hudson,MA
1451656,,26,Female,White,2015,Exercise Science,,,,Adaptive Sports Coach,,Health/Fitness,Peabody,MA
10035564,,68,Female,White,1972,English,Psychology,,,"Adjunct Assistant Professor, Poli Sci/Global Study",,Education - Higher,Ewing,NJ
1020867,,38,Female,White,2007,Nursing,,,,Adjunct Faculty,,Healthcare/Medical Services,Arvada,CO
10023266,,72,Female,,1970,History,,,,Adjunct Faculty,,Education - Higher,State College,PA
264662,,43,Female,White,1997,Biology,,,,Adjunct Faculty,,Education - Higher,Holliston,MA
10015545,,48,Female,,1969,Education,Mathematics,,,Adjunct Faculty,,,Parsippany,NJ
590275,,35,Female,White,2005,Member of the Honors,Nursing,,,"Adjunct Faculty, Graduate Clinical Preceptor",,Healthcare/Medical Services,Tolland,CT
10002494,,71,Female,,1970,Art History,,,,"Adjunct Faculty, Visual Arts Graduate Program",,Education - Higher,New York,NY
970747,,32,Female,White,2009,Biochemistry,,,,Adjunct Instructor,,,Rochester,NY
246436,,44,Female,White,1997,Chemistry,,,,Adjunct Lecturer,,Education - Higher,Farmington Hills,MI
10024417,,,Female,,1964,Communications,,,,Adjunct Professor,,Education - Higher,El Cerrito,CA
115422,,48,Female,White,1992,English,Philosophy,,,Adjunct Professor,,Education - Higher,Rye,NY
10038911,,49,Female,White,1970,English,,,,Adjunct Professor,,,Boulder,CO
10043565,,71,Female,,1970,History,,,,"Adjunct Professor, Carter Journalism Institute",,Education - Higher,New York,NY
10036648,,63,Female,,1978,Human Services,,,,Adjuster,,,Delray Beach,FL
167064,,47,Female,White,1994,Psychology,,,,Adjustment Counselor,,,Fairhaven,MA
1274739,,30,Female,White,2012,Public Health,,,,Admin Assistant II,,Healthcare/Medical Services,Newtonville,MA
1408281,,34,Female,Native Hawaiian/Pacific Islander,2013,English,,,,"Admin Assistant, Animal Management",,Environmental/Conservation,Dorchester,MA
10002923,,66,Female,,1974,Biology,Medical Technology,,,Admin Director Corporate and Lab Services,,,West Newton,MA
10008064,,49,Female,,1971,Psychology,,,,Adminisrative Assistant,,,Natick,MA
1071707,,31,Female,White,2010,History,,,,Administration & Marketing Associate,,Employment Services/Coaching,South Portland,ME
10006004,,,Female,,1977,Sociology,,,,Administration Coordinato,,,Firenze 50016,
10061980,,62,Female,,1987,Economics,Finance,,,Administration Manager,,,Austin,TX
10048140,,53,Female,White,1987,Human Services,,,,Administration of Student Life,,Education - Higher,College Station,TX
162744,,46,Female,,1994,Elementary Education,Philosophy,,,Administrative,,,Boston,MA
711380,,34,Female,White,2007,Graphic Design Communications,,,,Administrative & Marketing Assistant,,Communications/Media,Goffstown,NH
1332090,,27,Female,White,2014,Communications,,,,Administrative & Program Assistant,,Environmental/Conservation,Jamaica Plain,MA
10020372,,67,Female,White,1974,Biology,,,,Administrative Assistant,,Religious,Ashland,MA
1133908,,30,Female,White,2010,Management,,,,Administrative Assistant,,Pharmaceutical/Biotechnology,West Roxbury,MA
1152658,,30,Female,Asian,2010,Art,Psychology,,,Administrative Assistant,,Non-Profit,Wappingers Falls,NY
1441685,,26,Female,Asian,2016,English,Philosophy,,,Administrative Assistant,,Non-Profit,Dedham,MA
1467271,,24,Female,White,2016,Neuroscience and Behavior,,Spanish,,Administrative Assistant,,Legal Services,Schoharie,NY
99145,,56,Female,White,1988,Nutrition,,,,Administrative Assistant,,Healthcare/Medical Services,Belmont,MA
1257394,,37,Female,White,2009,Psychology,,,,Administrative Assistant,,Healthcare/Medical Services,Portland,ME
1446272,,26,Female,White,2014,Exercise Science,,,,Administrative Assistant,,Healthcare/Medical Services,Pomfret Center,CT
1446190,,26,Female,Latino/a or Hispanic,2015,Social Work,,,,Administrative Assistant,Office Support Specialist,Healthcare/Medical Services,Lynn,MA
1465013,,26,Female,White,2015,Social Work,,,,Administrative Assistant,Social Worker,Healthcare/Medical Services,Danvers,MA
1363476,,27,Female,,2013,English,,,,Administrative Assistant,,Food Manufacturing,Providence,RI
987679,,31,Female,White,2010,Economics,,,,Administrative Assistant,,Financial Services - Investments,Seattle,WA
1185041,,29,Female,Black or African American,2011,Communications,,English,Marketing,Administrative Assistant,,Employment Services/Coaching,Bronx,NY
10048696,,58,Female,,1982,Communications,Government,,,Administrative Assistant,,Education - Higher,Westborough,MA
239562,,43,Female,White,1997,Public Relations and Marketing,,,,Administrative Assistant,,Education - Higher,Pembroke,MA
1473968,,26,Male,White,2016,Art,Communications,Photography,,Administrative Assistant,,Education - Higher,Raymond,ME
806537,,33,Female,White,2007,Communications,,,,Administrative Assistant,,Broadcasting,Providence,RI
10032578,,,Female,,1970,Art History,,,,Administrative Assistant,,Arts/Entertainment/Recreation,Oyster Bay,NY
10051705,,57,Female,,1983,Psychology,,,,Administrative Assistant,,Arts/Entertainment/Recreation,Ridgewood,NY
531571,,35,Female,White,2006,International Relations,Political Science,,,Administrative Assistant,,Advocacy/Civic Organizations,Brookline,MA
818108,,32,Female,White,2009,English,,,,Administrative Assistant,,Advocacy/Civic Organizations,Quincy,MA
1477976,,24,Female,White,2016,Marketing,,,,Administrative Assistant,,Advertising/Public Relations/Marketing,Naugatuck,CT
10038321,,46,Female,,1962,Nursing,,,,Administrative Assistant,,,South Yarmouth,MA
10040518,,48,Female,,1967,Education,,,,Administrative Assistant,,,Portsmouth,NH
10037828,,48,Female,White,1968,Retail Management,,,,Administrative Assistant,,,Rockville,MD
10001881,,49,Female,,1971,Education,,,,Administrative Assistant,,,Brunswick,ME
10043834,,68,Female,,1972,Sociology,,,,Administrative Assistant,,,Newton,MA
10002203,,65,Female,,1976,Government,,,,Administrative Assistant,,,Holly Springs,NC
10037241,,65,Female,,1976,Management,,,,Administrative Assistant,,,Carlsbad,CA
10049965,,59,Female,Black or African American,1981,Management,,,,Administrative Assistant,,,Mattapan,MA
10046585,,56,Female,White,1984,Management,,,,Administrative Assistant,,,Danvers,MA
10051827,,56,Female,,1984,English,,,,Administrative Assistant,,,El Cerrito,CA
10048233,,54,Female,Black or African American,1986,International Business,,,,Administrative Assistant,,,Stoughton,MA
10053817,,53,Female,,1988,Economics,,,,Administrative Assistant,,,Franklin Lakes,NJ
122498,,48,Female,White,1992,French,International Business,,,Administrative Assistant,,,Melrose,MA
354934,,41,Female,Black or African American,1999,Psychology,,,,Administrative Assistant,,,Lowell,MA
427294,,40,Female,Latino/a or Hispanic,2001,Biology,,,,Administrative Assistant,,,Tampa,FL
456404,,38,Female,White,2003,English,,,,Administrative Assistant,,,Middleboro,MA
1134335,,36,Female,White,2012,Women's and Gender Studies,,,,Administrative Assistant,,,Merrimac,MA
1319495,,29,Female,White,2012,English,,,,Administrative Assistant,,,Sandwich,MA
1612392,,25,Female,White,2016,Business and Management,,,,Administrative Assistant,,,Allston,MA
1622212,,23,Female,White,2018,Economics,Political Science,Public and Social Policy,,Administrative Assistant,,,Brookline,MA
364764,,40,Female,White,2000,Biopsychology,,,,Administrative Assistant - Chaplaincy,,Healthcare/Medical Services,Cambridge,MA
23065,,48,Female,White,1992,Management,,,,Administrative Assistant Campaign,,,Marietta,GA
811407,,36,Female,White,2005,,,,,Administrative Assistant Customer Service,,Retail - General,Weymouth,MA
421134,,66,Female,White,2001,Art History,,,,Administrative Assistant II,,Education - Higher,Sudbury,MA
1153939,,30,Female,White,2010,History,Political Science,,,Administrative Assistant II,,Education - Higher,Allston,MA
1598479,,23,Female,White,2017,Political Science,,,,Administrative Assistant II,,Education - Higher,Somerville,MA
586967,,35,Female,White,2005,Communications,,,,Administrative Assistant II,,,Arlington,MA
1449116,,26,Female,,2015,Political Science,,,,"Administrative Assistant II, Strategic Initiatives",,Education - Higher,Boston,MA
1449727,,27,Female,White,2014,Psychology,,,,Administrative Assistant III,,Healthcare/Medical Services,Roxbury Crossing,MA
699867,,34,Female,White,2007,Political Science,,,,Administrative Assistant to CAS Associate Dean,,Education - Higher,Cambridge,MA
10013325,,47,Female,,1966,Business (General),,,,Administrative Assistant to the Dean,,,Lexington,MA
1280906,,28,Female,White,2012,Business (General),,,,"Administrative Assistant, Hematology",Office Support Specialist,Healthcare/Medical Services,Roslindale,MA
1254928,,30,Female,,2011,Communications,,,,"Administrative Assistant, Internal Communications",,Financial Services - Accounting,Newark,NJ
252180,,69,Female,White,1998,English,,Psychology,,Administrative Associate,,,Brookline,MA
1036533,,32,Female,White,2009,Biopsychology,,,,"Administrative Associate, Cardiology Department",,Healthcare/Medical Services,Medford,MA
10025196,,66,Female,,1974,Education,French,,,Administrative Coordinator,,Healthcare/Medical Services,Stoneham,MA
10048474,,53,Female,,1987,Arts Administration,,,,Administrative Coordinator,,Healthcare/Medical Services,Chelmsford,MA
10048517,,56,Female,,1984,Management,,,,Administrative Coordinator,,,Scituate,MA
251277,,44,Female,White,1997,Communications,Economics,English,,Administrative Coordinator,,,Boston,MA
1208458,,29,Female,White,2011,Nutrition and Dietetics,,,,Administrative Coordinator/Dietitian,,Health/Fitness,Brighton,MA
10034011,,48,Female,,1968,Psychology,,,,Administrative Director,,,Wilmington,DE
